idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
5,C[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N1CCC[C@H]1C(=O)O,0,1,0.8004294037818909,49,52,O=C(NCc1ccccc1)c1cccc(C(=O)NC(CNCC(=O)N2CCCC2)Cc2ccccc2)c1
28,C[C@@]1(c2cc(Nc3ncnc4cc(Cl)ccc34)ccc2F)CC2(CCC2)OC(N)=N1,0,1,0.6368629932403564,30,34,C1=NC(c2cccc(Nc3ncnc4ccccc34)c2)CC2(CCC2)O1
31,C[C@@]1(c2cc(Nc3cc(F)cc4cc(OCC5CC5)cnc34)ccc2F)COCC(N)=N1,0,1,0.879306435585022,32,36,C1=NC(c2cccc(Nc3cccc4cc(OCC5CC5)cnc34)c2)COC1
42,C[C@@]1(c2cc(NC(=O)c3cncnc3)ccc2F)COCC(N)=N1,0,1,0.7062447667121887,24,26,O=C(Nc1cccc(C2COCC=N2)c1)c1cncnc1
74,C[C@@]1(c2cc(NC(=O)C3CC3)ccc2F)CC2(CCC(F)(F)CC2)OC(N)=N1,0,1,0.5174344778060913,28,31,O=C(Nc1cccc(C2CC3(CCCCC3)OC=N2)c1)C1CC1
108,C[C@@H](NC(=O)c1cc(CNC[C@](N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,1,0.6044396162033081,38,40,O=C(NCc1ccccc1)c1cccc(CNCCCc2ccccc2)c1
111,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N2CCCS2(=O)=O)c1)c1ccccc1,0,1,0.8001267313957214,42,46,O=C(NCc1ccccc1)c1cc(C(=O)NC(CCNC2CC2)Cc2ccccc2)cc(N2CCCS2(=O)=O)c1
125,CSCC[C@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC1CCCCC1)C(O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,0,1,0.5062087774276733,65,66,O=C(CCCCC1CCCCC1)NCC(=O)NCC(=O)NCC(=O)NCCc1ccccc1
127,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](COCc1cc(F)cc(F)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,0,1,0.7391255497932434,57,58,O=C(CCCCCOCc1ccccc1)NCC(=O)NCc1ccccc1
136,CS(=O)(=O)N(c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1)c1ccccn1,0,1,0.6446439027786255,43,46,O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1cccc(Nc2ccccn2)c1
167,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)n2)cn1,0,1,0.9155144691467285,30,32,O=C(Nc1cccc(C2CS(=O)(=O)CC=N2)n1)c1cnccn1
174,COc1cnc(C(=O)Nc2cc([C@@]3(C)CS(=O)(=O)C4(CCC4)C(N)=N3)c(F)cn2)cn1,0,1,0.9865092635154724,31,34,O=C(Nc1cc(C2CS(=O)(=O)C3(C=N2)CCC3)ccn1)c1cnccn1
191,COc1cccc(C(=O)Nc2cccc(C3(C4CCCCC4)N=C(N)N(C)C3=O)c2)c1,0,1,0.7227010726928711,31,34,O=C(Nc1cccc(C2(C3CCCCC3)N=CNC2=O)c1)c1ccccc1
211,COc1ccc2nc3c(c(NCCCCCCCCNC(=S)NC45CC6CC(CC(C6)C4)C5)c2c1)CCCC3,0,1,0.5542662739753723,39,44,S=C(NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)NC12CC3CC(CC(C3)C1)C2
212,COc1ccc2cc(-c3cn(C[C@@H]4Cc5c([nH]c6ccccc56)CN4)nn3)ccc2c1,0,1,0.6632438898086548,31,36,c1ccc2cc(-c3cn(CC4Cc5c([nH]c6ccccc56)CN4)nn3)ccc2c1
220,COc1ccc2c(c1)C1(N=C(N)N3C(C(F)(F)F)CCCC31)C1(CCC(OC)CC1)C2,0,1,0.7988415360450745,31,35,C1=NC2(c3ccccc3CC23CCCCC3)C2CCCCN12
224,COc1ccc(OC)c(/N=c2\oc3c(C)ncc(CO)c3cc2C(=O)Nc2ccc(Cl)cc2)c1,0,1,0.8606007099151611,34,37,O=C(Nc1ccccc1)c1cc2ccncc2oc1=Nc1ccccc1
227,COc1ccc(COC[C@@H](C[C@H](O)[C@H](COc2cc(F)cc(F)c2)NC(=O)c2cc(N(C)C[C@H]3C[C@@H]3C)nc(N(C)S(C)(=O)=O)c2)OC)cc1,0,1,0.923448383808136,50,53,O=C(NC(CCCCOCc1ccccc1)COc1ccccc1)c1ccnc(NCC2CC2)c1
259,COc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nn1,0,1,0.7213001847267151,29,32,O=C(Nc1cccc(C2N=COC3CC32)c1)c1cccnn1
265,COc1ccc(-c2noc(C)c2C(=O)/N=C(\N)NCc2cc(C)c(NC(=O)c3ccco3)c(Cl)c2)cc1,0,1,0.9663288593292236,37,40,O=C(Nc1ccc(CNC=NC(=O)c2conc2-c2ccccc2)cc1)c1ccco1
266,COc1ccc(-c2cc(-c3ccc(Cl)cc3)c(C#N)c(SCC(=O)N(c3ccccc3)c3ccc4ccccc4c3)n2)cc1,0,1,0.7782100439071655,44,49,O=C(CSc1cc(-c2ccccc2)cc(-c2ccccc2)n1)N(c1ccccc1)c1ccc2ccccc2c1
307,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N(Cc2ccnnc2)C1=O,0,1,0.9987213015556335,34,39,O=C1N(Cc2ccnnc2)C=NC12c1cc(C#CC3CC3)ccc1CC21CCCCC1
314,CO[C@H]1CC[C@]2(CC1)Cc1ccc(Br)cc1C21CC(=O)N(C)C(N)=N1,0,1,0.6017428636550903,25,28,O=C1CC2(N=CN1)c1ccccc1CC21CCCCC1
321,CO[C@@H](COc1ccccc1)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1,0,1,0.8644832968711853,51,54,O=C(NCc1ccccc1)c1cccc(C(=O)NC(CCCCOc2ccccc2)COc2ccccc2)c1
322,CO[C@@H](COCC1CC1)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1,0,1,0.9699462056159973,49,52,O=C(NCc1ccccc1)c1cccc(C(=O)NC(CCCCOCC2CC2)COc2ccccc2)c1
328,COC[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3cnc(OCC4CCO4)cn3)ccc1F)N=C(N)S2,0,1,0.9330981373786926,34,38,C(=Cc1cnc(OCC2CCO2)cn1)c1cccc(C2N=CSC3CC32)c1
343,COCCN1CCc2nc(C(=O)Nc3ccc(F)c([C@]4(C)CO[C@@](C)(C(F)(F)F)C(N)=N4)n3)c(Cl)cc21,0,1,0.9103442430496216,37,40,O=C(Nc1cccc(C2COCC=N2)n1)c1ccc2c(n1)CCN2
362,COC1CCC2(CC1)Oc1ccc(-c3cccc(C#N)c3)cc1C21N=C(N)N(C)O1,0,1,0.9279711842536926,30,34,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1OC21CCCCC1
458,COC1CCC2(CC1)Cc1ccc(-c3cccnc3)cc1C21CC(=O)N(C)C(N)=N1,0,1,0.9044799208641052,30,34,O=C1CC2(N=CN1)c1cc(-c3cccnc3)ccc1CC21CCCCC1
477,CN1OC2(N=C1N)c1cc(Br)ccc1CC21CCC(Cc2ccccc2)CC1,0,1,0.5251614451408386,28,32,C1=NC2(ON1)c1ccccc1CC21CCC(Cc2ccccc2)CC1
481,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CCC21CCc2ccccc2CC1,0,1,0.93866366147995,34,39,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CCC21CCc2ccccc2CC1
482,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2cnncc2C1,0,1,0.9796436429023743,31,36,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CC21Cc2cnncc2C1
484,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2cccc3cccc(c23)C1,0,1,0.9803323745727539,35,41,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CC21Cc2cccc3cccc(c23)C1
489,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCCc2cnncc2C1,0,1,0.9624383449554443,33,38,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CC21CCCc2cnncc2C1
493,CN1OC2(CC3(CCOCC3)c3ccc(-c4cccc(C#N)c4)cc32)N=C1N,0,1,0.7581129670143127,28,32,C1=NC2(CC3(CCOCC3)c3ccc(-c4ccccc4)cc32)ON1
494,CN1OC2(C=C1N)c1cc(-c3cccc(C#N)c3)ccc1CCC21CCc2ccccc2CC1,0,1,0.841702401638031,34,39,C1=CC2(ON1)c1cc(-c3ccccc3)ccc1CCC21CCc2ccccc2CC1
512,CN1C(N)=N[C@](C)(c2cc(/C=C(\F)c3cc4nccnc4cn3)ccc2F)CS1(=O)=O,0,1,0.9940542578697205,31,34,O=S1(=O)CC(c2cccc(C=Cc3cc4nccnc4cn3)c2)N=CN1
516,CN1C(N)=N[C@](C)(c2cc(/C=C(\F)c3cc(=O)c(Cl)c[nH]3)ccc2F)CS1(=O)=O,0,1,0.926029622554779,29,31,O=c1cc[nH]c(C=Cc2cccc(C3CS(=O)(=O)NC=N3)c2)c1
537,CN1C(=O)CC2(N=C1N)c1cc(-c3cc(F)cc(Cl)c3)ccc1OC1CC3(CC[C@@H]12)OCCO3,0,1,0.6767075061798096,34,39,O=C1CC2(N=CN1)c1cc(-c3ccccc3)ccc1OC1CC3(CCC12)OCCO3
576,CN1C(=N)NC(c2cncnc2)(c2cccc(-c3cccc(Cl)c3)c2)C1=O,0,1,0.828606128692627,27,30,N=C1NC(=O)C(c2cncnc2)(c2cccc(-c3ccccc3)c2)N1
577,CN1C(=N)NC(c2cccnc2)(c2cccc(-c3cccc(Cl)c3)c2)C1=O,0,1,0.6421559453010559,27,30,N=C1NC(=O)C(c2cccnc2)(c2cccc(-c3ccccc3)c2)N1
588,CN(c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(C(O)Cc2ccccc2)c1)S(C)(=O)=O,0,1,0.5360297560691833,39,42,O=C(NC(CCNC1CC1)Cc1ccccc1)c1cccc(CCc2ccccc2)c1
592,CN(c1cc(C(=O)Cc2ccccc2)cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1)S(C)(=O)=O,0,1,0.6009299755096436,39,42,O=C(Cc1ccccc1)c1cccc(C(=O)NC(CCNC2CC2)Cc2ccccc2)c1
624,CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(C#N)nc21,0,1,0.6776610016822815,22,24,c1ccc(Nc2ncnc3[nH]cnc23)cc1
636,CCc1cn2c3c(ccc(C(=O)N[C@@H](COc4cc(F)cc(F)c4)[C@@H](O)C[C@H](COCc4ccc(OC)cc4)OC)c13)N(C)S(=O)(=O)CC2,0,1,0.9852228164672852,49,53,O=C(NC(CCCCOCc1ccccc1)COc1ccccc1)c1ccc2c3c1ccn3CCS(=O)(=O)N2
658,CC[C@H](NCC1Cc2cccc(c2)CCCCCc2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(=O)NCC(C)C,0,1,0.9353490471839905,40,42,O=C1NCCc2cccc(c2)CCCCCc2cccc1c2
683,CCNc1cc(C(=O)N[C@@H](Cn2cccn2)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1,0,1,0.9520069360733032,40,43,O=C(NC(CCNCc1ccccc1)Cn1cccn1)c1cccc(N2CCCCS2(=O)=O)c1
693,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCC2CCCCC2)cc(N2CCCC2=O)c1,0,1,0.701498806476593,37,40,O=C(NC(CCNCC1CCCCC1)Cc1ccccc1)c1cccc(N2CCCC2=O)c1
